1,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.9,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.8,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.7,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.6,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.5,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.4,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
0.3,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 ,0.0000 
0.2,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.0000 ,0.0000 
0.1,0.8510 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9480 ,0.9010 ,0.0000 
0,0.3190 ,0.3190 ,0.3190 ,0.3190 ,0.3190 ,0.3190 ,0.3190 ,0.4150 ,0.3890 ,0.3890 ,0.6270 
,0.0000 ,0.1000 ,0.2000 ,0.3000 ,0.4000 ,0.5000 ,0.6000 ,0.7000 ,0.8000 ,0.9000 ,1.0000 
,alpha,,,,,,,,,,
